Sl. No,States/UTs,Fault of Driver-Total No. of Road Accidents - 2014,Fault of Driver-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver-Number of Persons-Killed - 2014,Fault of Driver-Number of Persons-Killed - 2014 per 1L people,Fault of Driver-Number of Persons-Injured - 2014,Fault of Driver-Number of Persons-Injured - 2014 per 1L people,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Killed - 2014,Fault of Driver of other vehicles-Number of Persons-Killed - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Injured - 2014,Fault of Driver of other vehicles-Number of Persons-Injured - 2014 per 1L people,Fault of Pedestrian-Total No. of Road Accidents - 2014,Fault of Pedestrian-Total No. of Road Accidents - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Killed - 2014,Fault of Pedestrian-Number of Persons-Killed - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Injured - 2014,Fault of Pedestrian-Number of Persons-Injured - 2014 per 1L people,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014 per 1L people,Defect in Road Condition-Total No. of Road Accidents - 2014,Defect in Road Condition-Total No. of Road Accidents - 2014 per 1L people,Defect in Road Condition-Number of Persons-Killed - 2014,Defect in Road Condition-Number of Persons-Killed - 2014 per 1L people,Defect in Road Condition-Number of Persons-Injured - 2014,Defect in Road Condition-Number of Persons-Injured - 2014 per 1L people,Weather Condition-Total No. of Road Accidents - 2014,Weather Condition-Total No. of Road Accidents - 2014 per 1L people,Weather Condition-Number of Persons-Killed - 2014,Weather Condition-Number of Persons-Killed - 2014 per 1L people,Weather Condition-Number of Persons-Injured - 2014,Weather Condition-Number of Persons-Injured - 2014 per 1L people,Fault of Passenger-Total No. of Road Accidents - 2014,Fault of Passenger-Total No. of Road Accidents - 2014 per 1L people,Fault of Passenger-Number of Persons-Killed - 2014,Fault of Passenger-Number of Persons-Killed - 2014 per 1L people,Fault of Passenger-Number of Persons-Injured - 2014,Fault of Passenger-Number of Persons-Injured - 2014 per 1L people,Poor light-Total No. of Road Accidents - 2014,Poor light-Total No. of Road Accidents - 2014 per 1L people,Poor light-Number of Persons-Killed - 2014,Poor light-Number of Persons-Killed - 2014 per 1L people,Poor light-Number of Persons-Injured - 2014,Poor light-Number of Persons-Injured - 2014 per 1L people,Falling of boulders-Total No. of Road Accidents - 2014,Falling of boulders-Total No. of Road Accidents - 2014 per 1L people,Falling of boulders-Number of Persons-Killed - 2014,Falling of boulders-Number of Persons-Killed - 2014 per 1L people,Falling of boulders-Number of Persons-Injured - 2014,Falling of boulders-Number of Persons-Injured - 2014 per 1L people,Other causes/causes not known-Total No. of Road Accidents - 2014,Other causes/causes not known-Total No. of Road Accidents - 2014 per 1L people,Other causes/causes not known-Number of Persons-Killed - 2014,Other causes/causes not known-Number of Persons-Killed - 2014 per 1L people,Other causes/causes not known-Number of Persons-Injured - 2014,Other causes/causes not known-Number of Persons-Injured - 2014 per 1L people,Population,No. of  killed for each diff. reason/1 L,No. of  injur for each diff. reason/1 L,No. of Acc. for each diff. reason/1 L,"Total(Acc.,Injur,death)/1L due to falt of driver","Total(Acc.,Injur,death)/1L due to falt of other driver","Total(Acc.,Injur,death)/1L due to falt of other Padest.","Total(Acc.,Injur,death)/1L due to defect in vehicles","Total(Acc.,Injur,death)/1L due to defect in road condition","Total(Acc.,Injur,death)/1L due to weather condition"
21,Punjab,3849,13.87360093,2761,9.951938732,2577,9.288716448,293,1.056109398,195,0.702871443,199,0.717289318,123,0.443349679,113,0.40730499,22,0.079298317,169,0.60915525,107,0.385678176,85,0.30637986,190,0.684849098,129,0.464976493,173,0.623573126,311,1.120989839,232,0.836236793,166,0.598341843,28,0.10092513,4,0.014417876,10,0.036044689,112,0.403700521,83,0.299170922,68,0.245103888,51,0.183827916,21,0.075693848,45,0.162201102,1030,3.712603004,782,2.818694708,636,2.292442243,27743338,15.96,14.35,22.19,33.11,2.48,0.93,1.30,1.77,2.56
22,Rajasthan,23637,34.48218666,9878,14.41024833,26106,38.08401933,0,0,0,0,0,0,0,0,0,0,0,0,74,0.107952863,36,0.052517609,76,0.110870508,170,0.247999819,71,0.103576395,204,0.297599783,23,0.033552917,11,0.016047047,26,0.037929384,4,0.00583529,1,0.001458822,3,0.004376467,66,0.096282283,31,0.045223496,98,0.142964602,3,0.004376467,2,0.002917645,1,0.001458822,620,0.90446993,237,0.345740925,906,1.321693155,68548437,14.98,40.00,35.88,86.98,0.00,0.00,0.27,0.65,0.09
23,Sikkim,123,20.14487935,32,5.240944222,181,29.64409075,15,2.456692604,11,1.801574576,23,3.766928659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.637795069,2,0.327559014,16,2.620472111,4,0.655118028,0,0,10,1.637795069,11,1.801574576,3,0.491338521,29,4.749605701,0,0,0,0,0,0,40,6.551180277,11,1.801574576,93,15.23149414,610577,9.66,57.65,33.25,55.03,8.03,0.00,0.00,0.00,4.59
24,Tamil Nadu,64337,89.17484199,14325,19.85528718,74677,103.5066863,114,0.158010662,34,0.047125987,86,0.119201026,943,1.307053111,275,0.381166072,821,1.137953981,519,0.719364331,196,0.271667455,514,0.712434039,118,0.163554896,27,0.037423578,165,0.228699643,36,0.049898104,13,0.01801876,56,0.077619273,1046,1.44981713,262,0.363147312,1209,1.675744656,21,0.029107227,6,0.008316351,6,0.008316351,0,0,0,0,0,0,28,0.038809636,4,0.005544234,10,0.013860584,72147030,20.99,107.48,93.09,212.54,0.32,2.83,1.70,0.43,0.15
25,Telangana,16344,50.67140228,5357,16.60833958,14282,44.27857118,18,0.055805509,6,0.018601836,40,0.124012242,469,1.454043543,50,0.155015303,446,1.382736504,348,1.07890651,139,0.430942543,641,1.987296186,494,1.531551195,194,0.601459376,1225,3.797874926,338,1.047903449,183,0.567356009,920,2.852281577,62,0.192218976,24,0.074407345,175,0.542553561,148,0.458845297,73,0.226322343,378,1.171915692,565,1.751672925,196,0.607659988,1054,3.26772259,1119,3.469242484,613,1.900487616,2222,6.88888007,32254880,21.19,66.29,61.71,111.56,0.20,2.99,3.50,5.93,4.47
26,Tripura,562,15.29702495,147,4.001179123,971,26.42955734,23,0.626034829,7,0.190532339,51,1.388164186,25,0.68047264,12,0.326626867,25,0.68047264,20,0.544378112,4,0.108875622,32,0.871004979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.081656717,1,0.027218906,11,0.299407962,0,0,0,0,0,0,78,2.123074637,16,0.43550249,130,3.538457728,3673917,5.09,33.21,19.35,45.73,2.20,1.69,1.52,0.00,0.00
27,Uttarakhand,1039,10.30110966,637,6.315502268,941,9.329493931,146,1.447509154,81,0.803070147,134,1.328535799,0,0,0,0,0,0,35,0.347005619,16,0.15863114,18,0.178460033,1,0.009914446,1,0.009914446,0,0,0,0,0,0,0,0,51,0.505636759,28,0.277604495,70,0.694011238,0,0,0,0,0,0,1,0.009914446,0,0,2,0.019828893,137,1.358279138,115,1.14016132,366,3.628687331,10086292,8.70,15.18,13.98,25.95,3.58,0.00,0.68,0.02,0.00
28,Uttar Pradesh,7661,3.834097515,4047,2.025400423,5588,2.796624058,2737,1.369785263,1504,0.752706261,1884,0.942884704,972,0.48645644,501,0.250735264,738,0.369346556,2059,1.030466882,1085,0.543009503,1477,0.739193582,2719,1.36077681,1468,0.734689355,1585,0.793244297,1582,0.791742888,838,0.419393515,1185,0.593056462,3371,1.687082982,1683,0.842290317,2423,1.212637812,1475,0.738192642,807,0.403878958,1376,0.688646153,465,0.232718358,292,0.14613712,463,0.231717419,5101,2.552895369,2556,1.279200267,3237,1.620020057,199812341,7.40,9.99,14.08,8.66,3.07,1.11,2.31,2.89,1.80
29,West Bengal,5952,6.520873506,2680,2.936146001,5697,6.241501405,1495,1.637887414,615,0.673779773,1233,1.350846276,345,0.377974019,205,0.224593258,323,0.353871328,589,0.645294774,350,0.383451903,540,0.591611508,630,0.690213425,335,0.36701825,417,0.456855553,943,1.033128985,398,0.436039593,929,1.017790908,204,0.223497681,117,0.128182493,180,0.197203836,202,0.221306527,93,0.101888649,195,0.213637489,103,0.112844417,59,0.064639035,100,0.109557687,2067,2.264557382,825,0.903850914,2003,2.194440462,91276115,6.22,12.73,13.73,15.70,3.66,0.96,1.62,1.51,2.49
30,Andaman & Nicobar Is.,218,57.28084166,23,6.043391551,283,74.3599917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380581,6.04,74.36,57.28,137.68,0.00,0.00,0.00,0.00,0.00
31,Chandigarh,369,34.96139088,131,12.41176749,335,31.74001611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055450,12.41,31.74,34.96,79.11,0.00,0.00,0.00,0.00,0.00
32,Dadra & Nagar Haveli,87,25.31210995,59,17.16568376,96,27.93060409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343709,17.17,27.93,25.31,70.41,0.00,0.00,0.00,0.00,0.00
33,Daman & Diu,39,16.03308571,15,6.166571427,49,20.14413333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243247,6.17,20.14,16.03,42.34,0.00,0.00,0.00,0.00,0.00
34,Delhi ,NA,NA,856,5.098898072,NA,NA,NA,NA,13,0.077436536,NA,NA,NA,NA,0,0,NA,NA,NA,NA,7,0.041696596,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,9,0.05360991,NA,NA,NA,NA,0,0,NA,NA,NA,NA,786,4.681932108,NA,NA,"1,67,87,941",9.95,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
35,Lakshadweep,1,1.551036868,0,0,1,1.551036868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64473,0.00,1.55,1.55,3.10,0.00,0.00,0.00,0.00,0.00
36,Puducherry,1111,89.02578863,151,12.09981466,1323,106.0136079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247953,12.10,106.01,89.03,207.14,0.00,0.00,0.00,0.00,0.00
Total ,Total ,378992,31.29953687,102878,8.49631062,393340,32.48448472,20876,1.72407104,5295,0.437294317,16148,1.33360314,7191,0.593877891,2555,0.211007928,6331,0.522853696,9196,0.759463369,3548,0.293016098,8450,0.697854009,8356,0.690090899,3463,0.285996264,7496,0.619066704,5961,0.492296775,2554,0.210925342,5477,0.452325019,6721,0.555062343,2678,0.22116604,6101,0.503858853,4210,0.34768821,1802,0.148820464,4394,0.362884085,1664,0.137423559,744,0.061444187,1988,0.164181511,29463,2.433239369,10901,0.900272965,27529,2.273517516,1210854977,,,,,,,,,
